community,area,status,property_type,price,capital_gain_percent,price_per_sqft,size_sqft,beds,sold_date,sold_by,median_price_per_sqft,median_price,transactions,rental_yield_percent,predicted_type,prediction_confidence,prediction_reason
Casa,Arabian Ranches 2,Ready,Villa,6000000,59.0,1203,4989,4.0,18 Jun 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 4,42,bedrooms match; BUA 4989 slightly above range — possible extension (max 4708)
Casa,Arabian Ranches 2,Ready,Villa,6600000,75.0,1281,5152,4.0,17 Jun 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 4,42,bedrooms match; BUA 5152 slightly above range — possible extension (max 4708)
Camelia,Arabian Ranches 2,Ready,Villa,3250000,120.0,1988,1635,3.0,09 Jun 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1635 within standard range 1386–2122
Yasmin,Arabian Ranches 2,Ready,Villa,11500000,92.0,1427,8058,6.0,04 Jun 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 5,34,bedrooms match; BUA 8058 above range — likely extended (max 6486)
Camelia,Arabian Ranches 2,Ready,Villa,4350000,31.0,1039,4185,4.0,04 Jun 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 1E,34,bedrooms match; BUA 4185 above range — likely extended (max 3460)
Samara,Arabian Ranches 2,Ready,Villa,7400000,56.0,1300,5692,5.0,02 Jun 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 3,42,bedrooms match; BUA 5692 slightly above range — possible extension (max 5159)
Rasha,Arabian Ranches 2,Ready,Villa,9600000,81.0,1327,7233,4.0,30 May 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,26,bedrooms match; BUA 7233 well above range — heavily extended or wrong type (max 4654)
Lila,Arabian Ranches 2,Ready,Villa,7050000,49.0,1277,5521,5.0,30 May 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 5,26,bedrooms match; BUA 5521 well above range — heavily extended or wrong type (max 4069)
Reem,Arabian Ranches 2,Ready,Villa,3500000,63.0,1796,1949,3.0,28 May 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 1M,50,bedrooms match; BUA 1949 within standard range 1849–2043
Rosa,Arabian Ranches 2,Ready,Villa,15000000,114.0,1979,7578,5.0,27 May 2025,Individual (2 Times),1400,5915000,124,6,Possible Type 4,34,bedrooms match; BUA 7578 above range — likely extended (max 5905)
Azalea,Arabian Ranches 2,Ready,Villa,4990000,37.0,1251,3989,3.0,26 May 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,34,bedrooms match; BUA 3989 above range — likely extended (max 3296)
Samara,Arabian Ranches 2,Ready,Villa,5250000,75.0,1280,4101,3.0,22 May 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 1,50,bedrooms match; BUA 4101 within standard range 3559–4177
Azalea,Arabian Ranches 2,Ready,Villa,5500000,38.0,1026,5359,3.0,20 May 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,26,bedrooms match; BUA 5359 well above range — heavily extended or wrong type (max 3296)
Samara,Arabian Ranches 2,Ready,Villa,4980000,53.0,1285,3875,3.0,16 May 2025,Individual (2 Times),1400,5915000,124,6,Likely Type 1,50,bedrooms match; BUA 3875 within standard range 3559–4177
Lila,Arabian Ranches 2,Ready,Villa,6200000,158.0,1333,4650,4.0,16 May 2025,Individual (3 Times),1400,5915000,124,6,Possible Type 2,26,bedrooms match; BUA 4650 well above range — heavily extended or wrong type (max 3493)
Casa,Arabian Ranches 2,Ready,Villa,7450000,126.0,1300,5732,4.0,14 May 2025,Individual (3 Times),1400,5915000,124,6,Possible Type 4,34,bedrooms match; BUA 5732 above range — likely extended (max 4708)
Rasha,Arabian Ranches 2,Ready,Villa,8700000,85.0,1263,6889,4.0,14 May 2025,Individual (1 Time),1400,5915000,124,6,Possible Type 1,26,bedrooms match; BUA 6889 well above range — heavily extended or wrong type (max 4654)
